author,mean_conformity,n_poems,period
문경호(文景虎),1.0,13,late_joseon
이목(李穆),1.0,23,mid_joseon
나해봉(羅海鳳),1.0,53,late_joseon
황신(黃愼),1.0,24,mid_joseon
조성기(趙聖期),1.0,11,mid_joseon
윤안성(尹安性),0.9946236559139785,186,mid_joseon
홍섬(洪暹),0.9939762048192771,332,mid_joseon
오상(吳祥),0.9937113207547169,53,late_joseon
이달(李達),0.9918133333333334,285,mid_joseon
이장찬(李章贊),0.9916674999999999,40,final_joseon
김광익(金光翼),0.9910723214285715,112,late_joseon
박인(朴絪),0.9899,66,late_joseon
이세화(李世華),0.9893275862068965,203,mid_joseon
심수경(沈守慶),0.989247311827957,186,unknown
오건(吳健),0.9883052631578947,57,late_joseon
최상룡(崔象龍),0.9879882882882883,111,late_joseon
최희량(崔希亮),0.986733830845771,201,late_joseon
이시성(李時省),0.9863013698630136,219,late_joseon
이득윤(李得胤),0.9855086956521738,46,late_joseon
유희춘(柳希春),0.9855086956521738,92,final_joseon
홍우원(洪宇遠),0.9854753812636166,459,late_joseon
장경세(張經世),0.9848490909090909,110,late_joseon
최유해(崔有海),0.9847225000000001,120,unknown
조원기(趙遠期),0.9835484978540773,233,unknown
허초희(許楚姬),0.9829938775510204,49,mid_joseon
신후재(申厚載),0.9827586206896551,58,late_joseon
조귀석(趙龜錫),0.9826844155844157,154,mid_joseon
백광훈(白光勳),0.9811162561576354,406,mid_joseon
김방걸(金邦杰),0.9810602272727272,88,late_joseon
강주(姜籀),0.9802266949152542,472,mid_joseon
성여학(成汝學),0.9787961832061068,393,mid_joseon
김제민(金齊閔),0.9784958525345622,217,mid_joseon
박성(朴惺),0.9779411764705882,68,mid_joseon
홍성민(洪聖民),0.9771296529968454,634,mid_joseon
안헌징(安獻徵),0.9763735632183907,261,mid_joseon
김현성(金玄成),0.9761919642857143,112,mid_joseon
김우급(金友伋),0.9749319623971798,851,final_joseon
조려(趙旅),0.9743589743589743,39,final_joseon
오준(吳竣),0.9742909574468085,188,mid_joseon
정온(鄭蘊),0.9728925702811245,498,late_joseon
이언진(李彦瑱),0.9728697674418604,43,late_joseon
권변(權忭),0.9722226190476191,84,late_joseon
유호인(兪好仁),0.9717175757575758,165,early_joseon
차좌일(車佐一),0.9716739130434782,253,final_joseon
서익(徐益),0.9711938271604938,81,late_joseon
정창주(鄭昌胄),0.9708228116710875,377,mid_joseon
김지수(金地粹),0.9700013333333334,150,unknown
홍언필(洪彦弼),0.9697888217522658,331,mid_joseon
임진부(林眞怤),0.9697414985590778,347,late_joseon
김시관(金時觀),0.9693887755102041,98,late_joseon
박인로(朴仁老),0.9691351851851852,54,late_joseon
이성중(李誠中),0.9686550458715596,218,mid_joseon
홍석기(洪錫箕),0.9684889217134417,677,late_joseon
황위(黃暐),0.9683194214876033,242,final_joseon
최항경(崔恒慶),0.9681547770700638,157,late_joseon
임창택(林昌澤),0.9680369863013699,73,unknown
이시명(李時明),0.9678710843373494,83,unknown
김류(金瑬),0.9671641791044776,335,mid_joseon
송기수(宋麒壽),0.96667,20,late_joseon
조석윤(趙錫胤),0.9660367647058824,476,mid_joseon
채유후(蔡裕後),0.9641702898550725,414,mid_joseon
목대흠(睦大欽),0.9633697802197803,546,mid_joseon
정곤수(鄭崐壽),0.9629629629629629,27,mid_joseon
홍이상(洪履祥),0.9629629629629629,81,unknown
장현광(張顯光),0.9629622222222223,45,unknown
유의건(柳宜健),0.9625248520710059,169,late_joseon
송영구(宋英耈),0.9620544642857143,224,late_joseon
이제신(李濟臣),0.9615384615384616,39,mid_joseon
조임도(趙任道),0.9607353383458647,399,mid_joseon
김맹성(金孟性),0.9605267543859649,228,early_joseon
노인(魯認),0.96,75,late_joseon
이흘(李忔),0.958334,300,late_joseon
심희수(沈喜壽),0.9583333333333334,588,mid_joseon
이유홍(李惟弘),0.9581561702127659,235,final_joseon
차천로(車天輅),0.9580841317365268,334,final_joseon
박순(朴淳),0.9575019955654102,451,late_joseon
최경창(崔慶昌),0.9566336734693878,196,mid_joseon
홍가신(洪可臣),0.9563476190476191,84,unknown
이정(李楨),0.9558458955223881,268,final_joseon
한응인(韓應寅),0.9555600000000001,75,mid_joseon
윤상(尹祥),0.9555560000000001,75,mid_joseon
오익승(吳益升),0.9547097826086955,92,final_joseon
정호(鄭澔),0.9546780701754386,228,late_joseon
유근(柳根),0.9546294444444445,180,mid_joseon
양거안(梁居安),0.9538461538461539,65,final_joseon
윤근수(尹根壽),0.9535805369127516,298,mid_joseon
여대로(呂大老),0.9532536585365853,164,late_joseon
유희경(劉希慶),0.9532024630541872,203,mid_joseon
김상채(金尙彩),0.9518078313253012,166,late_joseon
권두문(權斗文),0.9506166666666667,108,late_joseon
심열(沈悅),0.9500007142857143,140,mid_joseon
이후백(李後白),0.949772602739726,73,unknown
조준(趙浚),0.9487981927710842,166,final_joseon
송인수(宋麟壽),0.9483563380281689,71,final_joseon
강재항(姜再恒),0.9471912087912087,546,final_joseon
정문부(鄭文孚),0.9457991869918698,123,mid_joseon
유집(柳楫),0.9455586666666667,150,unknown
최기남(崔奇男),0.9450340369393139,379,unknown
이언적(李彦迪),0.9444416666666666,12,mid_joseon
정철(鄭澈),0.944310411622276,413,mid_joseon
송광연(宋光淵),0.9442508710801394,287,mid_joseon
이휘일(李徽逸),0.9439242990654205,107,mid_joseon
이덕형(李德馨),0.9436826484018264,219,mid_joseon
김극성(金克成),0.943334,200,late_joseon
홍익한(洪翼漢),0.9429855263157895,76,mid_joseon
민제인(閔齊仁),0.9422371841155235,277,mid_joseon
윤순(尹淳),0.9421487603305785,121,final_joseon
조경(趙絅),0.9416235194585448,591,mid_joseon
이원손(李元孫),0.941103007518797,133,late_joseon
서필원(徐必遠),0.9405980198019802,101,late_joseon
이만영(李晩榮),0.9403302469135801,162,unknown
이춘영(李春英),0.9398485057471264,435,unknown
신익전(申翊全),0.9395993288590605,298,mid_joseon
이준경(李浚慶),0.9393977272727273,44,mid_joseon
신활(申活),0.9393948051948051,77,unknown
조상우(趙相禹),0.9391555555555556,63,late_joseon
이익상(李翊相),0.9381709677419355,124,mid_joseon
신민일(申敏一),0.9380774703557312,253,mid_joseon
정윤목(鄭允穆),0.9379964285714286,336,late_joseon
오억령(吳億齡),0.9378542372881356,118,mid_joseon
백광홍(白光弘),0.9375015625,64,final_joseon
최유연(崔有淵),0.9375008928571429,224,mid_joseon
임숙영(任叔英),0.9369042857142856,140,unknown
정염(丁焰),0.936619014084507,142,late_joseon
임제(林悌),0.9356064393939394,264,mid_joseon
최승태(崔承太),0.9352439490445861,157,mid_joseon
정양(鄭瀁),0.9349585365853659,41,final_joseon
김상용(金尙容),0.9345856655290102,293,mid_joseon
이자(李耔),0.934251376146789,109,late_joseon
임훈(林薰),0.9333349999999999,40,mid_joseon
이명준(李命俊),0.93265,146,unknown
노진(盧禛),0.9326430051813471,193,mid_joseon
박수검(朴守儉),0.9317582677165354,127,late_joseon
오장(吳長),0.9313054054054054,148,unknown
이기발(李起浡),0.9302820717131474,251,late_joseon
곽진(郭𡺽),0.9292921212121212,165,late_joseon
김해(金垓),0.9292452830188679,106,unknown
위백규(魏伯珪),0.92916625,80,late_joseon
황혁(黃赫),0.928267088607595,79,mid_joseon
정규한(鄭奎漢),0.9272563535911603,181,late_joseon
송주석(宋疇錫),0.9259255555555554,90,final_joseon
하홍도(河弘度),0.9252527272727272,165,mid_joseon
김령(金坽),0.9251917491749175,303,late_joseon
이재의(李載毅),0.9251456813819577,521,late_joseon
김흥국(金興國),0.9249490066225167,151,late_joseon
임억령(林億齡),0.9243229729729731,370,mid_joseon
한몽삼(韓夢參),0.9238142857142857,70,late_joseon
황호(黃㦿),0.9202662790697675,602,mid_joseon
임형수(林亨秀),0.9197537037037037,108,mid_joseon
정백창(鄭百昌),0.9195233644859813,321,mid_joseon
오윤겸(吳允謙),0.9192427835051546,194,mid_joseon
석지형(石之珩),0.91884,115,mid_joseon
권우(權遇),0.9177753315649868,377,mid_joseon
남정중(南正重),0.9176470588235294,85,late_joseon
김수흥(金壽興),0.9166731092436974,238,mid_joseon
이상질(李尙質),0.9166666666666666,84,mid_joseon
임운(林芸),0.915857281553398,103,mid_joseon
권헌(權攇),0.9142314619883042,855,final_joseon
김효원(金孝元),0.9139801075268817,186,unknown
이명한(李明漢),0.9134891891891892,1443,mid_joseon
홍주세(洪柱世),0.91319375,48,mid_joseon
홍주국(洪柱國),0.912697619047619,252,mid_joseon
신익성(申翊聖),0.9126833753148615,397,mid_joseon
강석규(姜錫圭),0.9121332635983264,478,final_joseon
구치용(具致用),0.9099356107660456,483,final_joseon
이수광(李睟光),0.9097913480885311,497,mid_joseon
정엽(鄭曄),0.9093132352941177,68,mid_joseon
문익성(文益成),0.9090909090909091,55,late_joseon
구영(具瑩),0.9087115577889446,199,mid_joseon
이해창(李海昌),0.9086538461538461,208,mid_joseon
양응정(梁應鼎),0.9074064814814814,108,late_joseon
김득신(金得臣),0.907305709023941,543,mid_joseon
남용익(南龍翼),0.9066706415620641,1434,mid_joseon
곽열(郭說),0.9059473029045644,241,final_joseon
홍명원(洪命元),0.905714,350,mid_joseon
송방조(宋邦祚),0.9051552845528454,123,final_joseon
최숙정(崔淑精),0.9044117647058824,204,late_joseon
채수(蔡壽),0.903847435897436,78,mid_joseon
조호익(曺好益),0.9035936274509804,204,late_joseon
김명석(金命錫),0.9034073863636363,176,late_joseon
정황(丁熿),0.9030098360655737,122,late_joseon
이민서(李敏敍),0.9029231732776618,479,mid_joseon
이건(李健),0.9017902200488997,818,mid_joseon
조식(曺植),0.9004977611940299,134,mid_joseon
심동귀(沈東龜),0.8988418111753371,519,mid_joseon
임상덕(林象德),0.8986656000000001,125,mid_joseon
홍적(洪迪),0.8969067010309278,194,mid_joseon
이경여(李敬輿),0.8964034234234234,555,mid_joseon
박전(朴全),0.895062962962963,54,late_joseon
신응시(辛應時),0.8938009302325581,215,mid_joseon
김인후(金麟厚),0.8937128801431128,1118,late_joseon
양경우(梁慶遇),0.8928218130311614,353,mid_joseon
박태보(朴泰輔),0.8927396039603961,101,mid_joseon
이정립(李廷立),0.8914697674418605,43,mid_joseon
홍주원(洪柱元),0.8913395604395605,819,unknown
장혼(張混),0.8909175182481752,411,unknown
정수강(丁壽崗),0.8906072687224669,454,mid_joseon
강항(姜沆),0.8901301675977654,179,mid_joseon
하항(河沆),0.8888928571428572,126,late_joseon
허진동(許震童),0.8885992167101828,383,late_joseon
김만영(金萬英),0.8881549668874172,453,late_joseon
김익희(金益熙),0.8876804347826087,322,mid_joseon
최시옹(崔是翁),0.8848490909090909,55,late_joseon
송덕상(宋德相),0.8842583333333334,36,final_joseon
송달수(宋達洙),0.8842583333333334,36,final_joseon
조문수(曺文秀),0.8828107368421053,475,unknown
남한기(南漢紀),0.8813559322033898,177,late_joseon
안방준(安邦俊),0.8809571428571428,28,late_joseon
임전(任錪),0.8804528795811519,191,mid_joseon
조희일(趙希逸),0.8804347826086957,276,mid_joseon
오이익(吳以翼),0.880055230125523,239,late_joseon
김석주(金錫胄),0.8798448504983389,301,mid_joseon
심유(沈攸),0.8787462298491939,1923,mid_joseon
이진백(李震白),0.8783087301587301,252,mid_joseon
최항(崔恒),0.8771934210526316,76,mid_joseon
윤광계(尹光啓),0.8763629090909091,275,late_joseon
송병순(宋秉珣),0.8756398076923076,520,final_joseon
권문해(權文海),0.8751899543378995,219,late_joseon
김육(金堉),0.875,20,mid_joseon
이호민(李好閔),0.8734201166180758,686,mid_joseon
조우인(曺友仁),0.87197,220,unknown
권극중(權克中),0.871889552238806,134,mid_joseon
양사언(楊士彦),0.871383105022831,219,mid_joseon
안민학(安敏學),0.8699692307692307,91,late_joseon
이행(李荇),0.8684393518518518,432,mid_joseon
이서구(李書九),0.8682377581120945,339,final_joseon
이헌경(李獻慶),0.864209592061742,907,late_joseon
정영방(鄭榮邦),0.863526811594203,276,late_joseon
김하구(金夏九),0.8630346534653466,303,late_joseon
홍서봉(洪瑞鳳),0.8611138888888888,36,mid_joseon
정도전(鄭道傳),0.8602138248847927,217,late_joseon
신숙주(申叔舟),0.8590788617886179,123,mid_joseon
이정암(李廷馣),0.8576784126984127,315,mid_joseon
송순(宋純),0.8571428571428571,14,late_joseon
심의(沈義),0.8565513931888544,323,mid_joseon
이로(李魯),0.8563189655172414,58,late_joseon
구봉령(具鳳齡),0.8515002973240833,1009,mid_joseon
권필(權韠),0.8514369009584665,626,mid_joseon
한충(韓忠),0.85,10,late_joseon
장만(張晩),0.8488973333333333,75,mid_joseon
송인(宋寅),0.8452974358974359,195,mid_joseon
이정형(李廷馨),0.8445791411042946,163,unknown
김시온(金是榲),0.8441786982248521,169,mid_joseon
김세필(金世弼),0.840821722846442,267,mid_joseon
조종저(趙宗著),0.838540625,32,mid_joseon
고부천(高傅川),0.8382352941176471,68,late_joseon
송시열(宋時烈),0.8379463667820068,578,final_joseon
조위(曺偉),0.8373766990291261,206,late_joseon
심광세(沈光世),0.8349150943396226,106,mid_joseon
서경창(徐慶昌),0.8333424242424242,33,unknown
김구(金坵),0.8333299999999999,10,late_joseon
유한준(兪漢雋),0.8330757341576507,647,unknown
구사맹(具思孟),0.832780198019802,303,mid_joseon
이정(李婷),0.831753164556962,316,mid_joseon
김의정(金義貞),0.8300961165048544,103,late_joseon
이원배(李元培),0.8236213592233009,103,late_joseon
이집(李集),0.8229945736434108,129,mid_joseon
성여신(成汝信),0.8227848101265823,79,late_joseon
김양근(金養根),0.8210613496932515,163,late_joseon
김휴(金烋),0.82038,90,unknown
박은(朴誾),0.8190507142857143,140,early_joseon
김만중(金萬重),0.810789411764706,170,mid_joseon
한준겸(韓浚謙),0.8098307692307692,156,mid_joseon
서종화(徐宗華),0.8095314285714286,70,late_joseon
이춘원(李春元),0.809322033898305,118,mid_joseon
윤대순(尹大淳),0.7982434210526316,76,late_joseon
정홍명(鄭弘溟),0.7962962962962963,27,mid_joseon
박흥생(朴興生),0.7958932584269663,89,final_joseon
김덕승(金德承),0.7833375,40,unknown
정위(鄭煒),0.778169014084507,142,late_joseon
강희맹(姜希孟),0.7676742424242425,198,late_joseon
신천익(愼天翊),0.75,14,mid_joseon
이곡(李穀),0.7442622950819672,305,mid_joseon
유경심(柳景深),0.743972463768116,69,mid_joseon
남용만(南龍萬),0.7426900584795322,171,late_joseon
심조(沈潮),0.7256224489795918,147,late_joseon
이영익(李令翊),0.7222222222222222,99,unknown
민사평(閔思平),0.711864406779661,59,pre_joseon
김정묵(金正默),0.6969727272727272,11,final_joseon
김일손(金馹孫),0.64285,14,early_joseon
진화(陳澕),0.4791625,40,late_joseon
